trade_id,strategy_id,factor_id,product_id,contract,side,quantity,entry_signal_time,entry_time,entry_price,exit_signal_time,exit_time,exit_price,bars_held,gross_pnl,total_fee,net_pnl,trading_date
FID004_night_v3:DCE.P:000329,FID004_night_v3,FID004,DCE.P,P1809,short,1,2018-07-02 21:36:00,2018-07-02 21:37:00,4856.0,2018-07-02 22:55:00,2018-07-02 22:56:00,4858.0,79,-20.0,3.30276,-23.302760000000003,2018-07-03
FID004_night_v3:DCE.P:000331,FID004_night_v3,FID004,DCE.P,P1809,long,1,2018-07-06 22:36:00,2018-07-06 22:37:00,4812.0,2018-07-06 22:55:00,2018-07-06 22:56:00,4810.0,19,-20.0,3.27148,-23.27148,2018-07-09
FID004_night_v3:DCE.JM:000345,FID004_night_v3,FID004,DCE.JM,JM1809,short,1,2018-07-31 21:53:00,2018-07-31 21:54:00,1197.0,2018-07-31 22:55:00,2018-07-31 22:56:00,1193.5,62,210.0,14.48643,195.51357,2018-08-01
FID004_night_v3:DCE.P:000360,FID004_night_v3,FID004,DCE.P,P1901,long,1,2018-08-23 22:16:00,2018-08-23 22:17:00,4936.0,2018-08-23 22:55:00,2018-08-23 22:56:00,4928.0,39,-80.0,3.35376,-83.35376000000001,2018-08-24
FID004_night_v3:SHFE.AU:000599,FID004_night_v3,FID004,SHFE.AU,AU1812,short,1,2018-09-06 01:27:00,2018-09-06 01:28:00,265.7,2018-09-06 02:25:00,2018-09-06 02:26:00,265.95,58,-250.0,40.0,-290.0,2018-09-06
FID004_night_v3:DCE.P:000375,FID004_night_v3,FID004,DCE.P,P1901,long,1,2018-09-18 21:43:00,2018-09-18 21:44:00,4786.0,2018-09-18 22:55:00,2018-09-18 22:56:00,4778.0,72,-80.0,3.25176,-83.25176,2018-09-19
FID004_night_v3:DCE.P:000386,FID004_night_v3,FID004,DCE.P,P1901,long,1,2018-10-18 21:35:00,2018-10-18 21:36:00,4744.0,2018-10-18 22:55:00,2018-10-18 22:56:00,4746.0,80,20.0,3.2266,16.7734,2018-10-19
FID004_night_v3:CZCE.CF:000362,FID004_night_v3,FID004,CZCE.CF,CF1901,long,1,2018-10-19 22:12:00,2018-10-19 22:13:00,15265.0,2018-10-19 22:55:00,2018-10-19 22:57:00,15265.0,44,0.0,9.92225,-9.92225,2018-10-22
FTR001_trading_day_v3:DCE.M:000174,FTR001_trading_day_v3,FTR001,DCE.M,M1901,short,1,2018-11-01 22:19:00,2018-11-01 22:20:00,3228.0,2018-11-02 14:55:00,2018-11-02 21:00:00,3069.0,265,1590.0,3.2114700000000003,1586.78853,2018-11-05
FID004_night_v3:DCE.P:000405,FID004_night_v3,FID004,DCE.P,P1905,long,1,2018-12-03 21:43:00,2018-12-03 21:44:00,4520.0,2018-12-03 22:55:00,2018-12-03 22:56:00,4522.0,72,20.0,3.07428,16.925720000000002,2018-12-04
FID004_night_v3:SHFE.CU:000649,FID004_night_v3,FID004,SHFE.CU,CU1902,short,1,2018-12-13 22:27:00,2018-12-13 22:28:00,49260.0,2018-12-14 00:55:00,2018-12-14 00:56:00,49250.0,148,50.0,24.6275,25.3725,2018-12-14
FID004_day_v3:CZCE.SR:000631,FID004_day_v3,FID004,CZCE.SR,SR1905,long,1,2019-01-21 14:06:00,2019-01-21 14:07:00,5103.0,2019-01-21 14:55:00,2019-01-21 21:00:00,5106.0,53,30.0,5.614949999999999,24.38505,2019-01-22
FTR001_rolling_30m_v3:CZCE.SR:000537,FTR001_rolling_30m_v3,FTR001,CZCE.SR,SR1905,long,1,2019-01-21 14:07:00,2019-01-21 14:08:00,5100.0,2019-01-21 14:55:00,2019-01-21 21:00:00,5106.0,52,60.0,5.613299999999999,54.3867,2019-01-22
FTR001_trading_day_v3:CZCE.SR:000269,FTR001_trading_day_v3,FTR001,CZCE.SR,SR1905,long,1,2019-01-21 09:00:00,2019-01-21 09:01:00,5069.0,2019-01-21 14:55:00,2019-01-21 21:00:00,5106.0,224,370.0,5.5962499999999995,364.40375,2019-01-22
FID004_night_v3:SHFE.AG:000695,FID004_night_v3,FID004,SHFE.AG,AG1906,short,1,2019-03-06 23:12:00,2019-03-06 23:13:00,3557.0,2019-03-07 02:25:00,2019-03-07 02:26:00,3560.0,193,-45.0,5.444505000000001,-50.444505,2019-03-07
FID004_night_v3:CZCE.CF:000429,FID004_night_v3,FID004,CZCE.CF,CF1905,long,1,2019-03-15 21:35:00,2019-03-15 21:36:00,15250.0,2019-03-15 22:55:00,2019-03-15 22:56:00,15245.0,80,-25.0,9.910875,-34.910875,2019-03-18
FID004_night_v3:SHFE.AU:000782,FID004_night_v3,FID004,SHFE.AU,AU1912,short,1,2019-05-08 21:47:00,2019-05-08 21:48:00,287.1,2019-05-09 02:25:00,2019-05-09 02:27:00,286.25,279,850.0000000000227,40.0,810.0000000000227,2019-05-09
FTR001_trading_day_v3:CZCE.CF:000242,FTR001_trading_day_v3,FTR001,CZCE.CF,CF1909,short,1,2019-05-13 09:00:00,2019-05-13 09:01:00,14960.0,2019-05-13 14:55:00,2019-05-13 21:00:00,14300.0,224,3300.0,9.5095,3290.4905,2019-05-14
FTR001_trading_day_v3:CZCE.CF:000243,FTR001_trading_day_v3,FTR001,CZCE.CF,CF1909,short,1,2019-05-13 21:59:00,2019-05-13 22:00:00,14055.0,2019-05-14 14:55:00,2019-05-14 21:00:00,13840.0,285,1075.0,9.065874999999998,1065.934125,2019-05-15
FID004_day_v3:DCE.M:000663,FID004_day_v3,FID004,DCE.M,M1909,long,1,2019-05-29 11:06:00,2019-05-29 11:07:00,2948.0,2019-05-29 14:55:00,2019-05-29 21:00:00,2969.0,113,210.0,3.0176700000000003,206.98233,2019-05-30
FTR001_trading_day_v3:DCE.M:000214,FTR001_trading_day_v3,FTR001,DCE.M,M1909,long,1,2019-05-29 09:00:00,2019-05-29 09:01:00,2919.0,2019-05-29 14:55:00,2019-05-29 21:00:00,2969.0,224,500.0,3.00288,496.99712,2019-05-30
FID004_day_v3:CZCE.CF:000752,FID004_day_v3,FID004,CZCE.CF,CF1909,short,1,2019-07-09 09:31:00,2019-07-09 09:32:00,13260.0,2019-07-09 14:55:00,2019-07-09 21:00:00,13060.0,193,1000.0,8.553999999999998,991.446,2019-07-10
FTR001_trading_day_v3:CZCE.CF:000260,FTR001_trading_day_v3,FTR001,CZCE.CF,CF1909,short,1,2019-07-09 09:04:00,2019-07-09 09:05:00,13520.0,2019-07-09 14:55:00,2019-07-09 21:00:00,13060.0,220,2300.0,8.638499999999999,2291.3615000000004,2019-07-10
FID004_day_v3:CZCE.CF:000772,FID004_day_v3,FID004,CZCE.CF,CF1909,short,1,2019-08-05 11:21:00,2019-08-05 11:22:00,12335.0,2019-08-05 14:55:00,2019-08-05 21:00:00,12155.0,98,900.0,7.959249999999999,892.04075,2019-08-06
FID004_day_v3:SHFE.AU:000740,FID004_day_v3,FID004,SHFE.AU,AU1912,long,1,2019-08-05 09:32:00,2019-08-05 09:33:00,330.9,2019-08-05 14:55:00,2019-08-05 21:00:00,336.9,192,6000.0,40.0,5960.0,2019-08-06
FTR001_trading_day_v3:CZCE.CF:000265,FTR001_trading_day_v3,FTR001,CZCE.CF,CF1909,short,1,2019-08-05 09:00:00,2019-08-05 09:01:00,12450.0,2019-08-05 14:55:00,2019-08-05 21:00:00,12155.0,224,1475.0,7.996625,1467.003375,2019-08-06
FTR001_trading_day_v3:SHFE.AU:000349,FTR001_trading_day_v3,FTR001,SHFE.AU,AU1912,long,1,2019-08-02 22:08:00,2019-08-02 22:09:00,326.45,2019-08-05 14:55:00,2019-08-05 21:00:00,336.9,486,10449.999999999987,40.0,10409.999999999987,2019-08-06
FID004_day_v3:SHFE.AG:000742,FID004_day_v3,FID004,SHFE.AG,AG1912,short,1,2019-09-06 09:59:00,2019-09-06 10:00:00,4629.0,2019-09-06 14:55:00,2019-09-06 21:00:00,4615.0,165,210.0,7.071660000000001,202.92834,2019-09-09
FTR001_trading_day_v3:SHFE.AG:000337,FTR001_trading_day_v3,FTR001,SHFE.AG,AG1912,short,1,2019-09-05 21:59:00,2019-09-05 22:00:00,4731.0,2019-09-06 14:55:00,2019-09-06 21:00:00,4615.0,495,1740.0,7.149690000000001,1732.85031,2019-09-09
FID004_night_v3:DCE.JM:000588,FID004_night_v3,FID004,DCE.JM,JM2005,long,1,2019-12-26 22:39:00,2019-12-26 22:40:00,1147.0,2019-12-26 22:55:00,2019-12-26 22:56:00,1146.0,16,-60.0,13.89558,-73.89558,2019-12-27
FID004_night_v3:CZCE.CF:000557,FID004_night_v3,FID004,CZCE.CF,CF2005,short,1,2019-12-30 21:49:00,2019-12-30 21:50:00,13945.0,2019-12-30 22:55:00,2019-12-30 22:57:00,13945.0,67,-0.0,9.06425,-9.06425,2019-12-31
FTR001_trading_day_v3:SHFE.RB:000332,FTR001_trading_day_v3,FTR001,SHFE.RB,RB2005,long,1,2020-02-03 09:46:00,2020-02-03 09:47:00,3275.0,2020-02-03 14:55:00,2020-02-04 09:00:00,3209.0,178,-660.0,6.54884,-666.54884,2020-02-04
FID004_day_v3:CZCE.SR:000912,FID004_day_v3,FID004,CZCE.SR,SR2005,long,1,2020-02-04 09:37:00,2020-02-04 09:38:00,5620.0,2020-02-04 14:55:00,2020-02-05 09:00:00,5668.0,187,480.0,6.208399999999999,473.7916,2020-02-05
FTR001_trading_day_v3:CZCE.SR:000379,FTR001_trading_day_v3,FTR001,CZCE.SR,SR2005,long,1,2020-02-04 09:29:00,2020-02-04 09:30:00,5610.0,2020-02-04 14:55:00,2020-02-05 09:00:00,5668.0,195,580.0,6.2029,573.7971,2020-02-05
FID004_day_v3:CZCE.CF:000909,FID004_day_v3,FID004,CZCE.CF,CF2005,long,1,2020-02-17 10:11:00,2020-02-17 10:12:00,13330.0,2020-02-17 14:55:00,2020-02-18 09:00:00,13395.0,153,325.0,8.685624999999998,316.31437500000004,2020-02-18
FTR001_rolling_30m_v3:CZCE.CF:000649,FTR001_rolling_30m_v3,FTR001,CZCE.CF,CF2005,long,1,2020-02-17 14:12:00,2020-02-17 14:13:00,13455.0,2020-02-17 14:55:00,2020-02-18 09:00:00,13395.0,47,-300.0,8.72625,-308.72625000000005,2020-02-18
